"Bcity...1.","lat","lon","administrative_area_level_1"
"Mangalore",12.9141417,74.8559568,"Karnataka"
"Hyderabad",17.385044,78.486671,"Telangana"
"Vijayawada",16.5061743,80.6480153,"Andhra Pradesh"
"Bangalore",12.9715987,77.5945627,"Karnataka"
"Chennai",13.0826802,80.2707184,"Tamil Nadu"
"Lucknow",26.8466937,80.946166,"Uttar Pradesh"
"Nasik",19.9974533,73.7898023,"Maharashtra"
"Surat",21.1702401,72.8310607,"Gujarat"
"Coimbatore",11.0168445,76.9558321,"Tamil Nadu"
"Vizag",17.6868159,83.2184815,"Andhra Pradesh"
"Delhi",28.7040592,77.1024902,"Delhi"
"Ernakulam",9.9816358,76.2998842,"Kerala"
"Madurai",9.9252007,78.1197754,"Tamil Nadu"
"Indore",22.7195687,75.8577258,"Madhya Pradesh"
"Jaipur",26.9124336,75.7872709,"Rajasthan"
"Trichy",10.7904833,78.7046725,"Tamil Nadu"
"Nepal",28.394857,84.124008,NA
"Pune",18.5204303,73.8567437,"Maharashtra"
"Nagpur",21.1458004,79.0881546,"Maharashtra"
"Raipur",21.2513844,81.6296413,"Chhattisgarh"
"Gurgaon",28.4594965,77.0266383,"Haryana"
"Trivandrum",8.5241391,76.9366376,"Kerala"
"Mumbai",19.0759837,72.8776559,"Maharashtra"
"Ahmedabad",23.022505,72.5713621,"Gujarat"
"Navi Mumbai",19.0330488,73.0296625,"Maharashtra"
"Chandigarh",30.7333148,76.7794179,"Chandigarh"
"Noida",28.5355161,77.3910265,"Uttar Pradesh"
"Kolkata",22.572646,88.363895,"West Bengal"
"Guwahati",26.1445169,91.7362365,"Assam"
"Ranchi",23.3440997,85.309562,"Jharkhand"
"Bhubhaneswar",20.2960587,85.8245398,"Odisha"
"Patna",25.5940947,85.1375645,"Bihar"
